Date Posted,Media Type,Post Text,Post Likes,Post Comments,Video Views,Media Links
9 months ago,"Other: Poll, Shared Post, etc","Greetings from Department of Civil Engineering, KPR Institute of Engineering and Technology, Coimbatore.KPRIET Civil Engineering Students Association and Indian Geotechnical Society (IGS) Student chapter of KPRIET jointly organizes lecture series I on ""Towards better practices in Geotechnical Engineering"" on 8th February 2022 at 03.00 PM.Resource PersonDr. G L Sivakumar BabuProfessor, Department of Civil Engineering,Indian Institute of Science(IISc) - Bangalore.Governor, Region 10, ASCE 2014-2020Registration link : https://bit.ly/3rbUKwY #civilengineering #science #society #civilengineering #engineering #technology #bangalore #civilengineer #civilengineers ASCE India Section SR 



…see more",26,26,4 reposts,None
9 months ago,"Other: Poll, Shared Post, etc","A Program for ""Career Opportunities in Engineering"" for First Year Students and Engineering Aspirants.Date : 02.02.2022Time : 10 amVenue : KPR Institute of Engineering and TechnologyLive on youtube - kpriet.ac.in/liveContact : 75488 88444#kpriet #engineering#careerguide #careerguidance #guidance #technology #live #Youtube #opportunity #21stcenturyskills #careeropportunities #strategicthinking #students #criticalthinking



…see more",63,63,4 reposts,None
8 months ago,"Other: Poll, Shared Post, etc","Recruitment for teaching and non-teaching positions.Interested candidates can mail their resumes to career@kpriet.ac.in on or before 05.03.2022.#teaching #recruitment #career #kpriet #dreamjob #jobalert



…see more",51,51,2 reposts,None
9 months ago,"Other: Poll, Shared Post, etc","On the occasion of the Republic Day of India, the flag hoisting ceremony will take place in the Phoenix Circle on Wednesday, 26 January 2022 at 08.00 am.The ceremony will be telecasted live on YouTube. Link: https://kpriet.ac.in/live#RepublicDay #indiarepublic #india #kpriet #celebration #parade #flag #tricolor #NationalFlag



…see more",14,14,4 reposts,None
8 months ago,"Other: Poll, Shared Post, etc","Talent without working hard is nothing.- Cristiano Ronaldo#mondaymotivation #motivationalquotes #inspire #kpriet #thoughtoftheday #leaders #talent



…see more",47,47,N/A,None
9 months ago,"Other: Poll, Shared Post, etc","If you think you are too small to make a difference, try sleeping with a mosquito.- Dalai Lama#learnbeyond#kpriet#dalailama #dalailamaquotes #sundayvibes #motivationalquotes 



…see more",17,17,2 reposts,None
9 months ago,"Other: Poll, Shared Post, etc","Life and time are the two best teachers. Life teaches us to make good use of time and time teaches us the value of life.- Dr. A. P. J. Abdul Kalam#teachers #life #lifeadvice #timemanagement #time #lifeatkpriet#kpriet #inspiredtoinnovate #inspire #innovation



…see more",8,8,1 repost,None
9 months ago,"Other: Poll, Shared Post, etc","KPRIET - Nutshell 2021We're excited to showcase a handful of the accomplishments made in 2021.#kpriet #2021#achievements #accomplishments #engineering 



…see more",27,27,5 reposts,None
9 months ago,"Other: Poll, Shared Post, etc","May this festival fill your life with lots of energy and enthusiasm, and help you get all the happiness and prosperity. Happy Pongal to all!!!#HappyPongal #Pongal2022 #pongalfestival #pongalspecial #pongal #ThaiPongal #energy #happiness #help 



…see more",33,33,2 reposts,None
9 months ago,"Other: Poll, Shared Post, etc","""It is during our darkest moments that we must focus to see the light""- Aristotle #mondaymotivation #motivation #thoughtoftheday #light #darkness #live #kpriet #engineering #technology



…see more",14,14,N/A,None
9 months ago,"Other: Poll, Shared Post, etc","On Behalf of National Youth day, we are here with an amazing event ✨✨*Take a pledge on Plastic Awareness*Say No to plastic✌🏻 Event date :11.01.2022 to 13.01.2022✌🏻 Take a pledge Here 👇🏻: https://lnkd.in/gGPvvvxzHelp the earth rejuvenate,Say no to plasticFor queries contact:+91 88708 86429+91 82481 52769With regardsEco club🍀KPRIET



…see more",5,5,N/A,None
9 months ago,"Other: Poll, Shared Post, etc","""People👬 shouldn't be afraid of their government.💥Governments should be afraid of their people⚡️. We can all agree on the importance of voting😊🗳️. Voting is as much an emotional act as it is an intellectual one☑️.""#people #government #voting #awareness #votingrights #vote #kpriet #engineering #india #awareness



…see more",10,10,1 repost,None
9 months ago,"Other: Poll, Shared Post, etc","A republic – if you can keep it – is about limitation, and for good reason, because we are mortal and our actions are imperfect. – Mike Pence✨Today Is The Day When Everyone Young Or Old,💫Tall Or Short,✨Light Skin Or Dark Come Together💖To Show The Whole World🌐That This Nation Is The Best Nation🪄Under The Sun.🌤️Happy Republic Day ❤️🇮🇳!!❕#republicday #india#Republicday2022 #flag#tricolor 



…see more",31,31,1 repost,None
9 months ago,"Other: Poll, Shared Post, etc","CURRENT AFFAIRS - 20.01.2022#currentaffairs #KPRIETNews#counseling #leopards #republicday2022 #covid #tatamotors #indianoil#electricvehicles



…see more",6,6,N/A,None
10 months ago,"Other: Poll, Shared Post, etc","Happy new year! 2022 is the beginning of a new chapter. This is your year. Make it happen.#happynewyear2022 #happynewyear 



…see more",22,22,N/A,None
10 months ago,"Other: Poll, Shared Post, etc","Congratulations Ms. Mathumithra C, Ms. Mounika S, and Ms. Nithisree B on your successful placement in HCL with a salary package of 3.65 LPA.#Congratulations #kpriet #placement #Dreamjob #career #success #HCL



…see more",47,47,2 comments,None
10 months ago,"Other: Poll, Shared Post, etc","The Management, Principal, Faculty, Staff and Students cordially invite you for the Graduation Ceremony of 2019 and 2020 batchDate: 18.12.2021Time: 10.30 AMVenue: Kalaiarangam, KPRIET#graduationday🎓 #GraduationDay2021 #kpriet #AlumniMeet #graduands🎓  #management #students #Ceremony #graduationceremony



…see more",53,53,4 reposts,None
10 months ago,"Other: Poll, Shared Post, etc","QS I-GAUGE is an independent private-sector effort based in India that specializes in rating institutions, universities, and schools. KPR Institute of Engineering and Technology received a Diamond grade with a score of 1115 points after demonstrating great performance in QS audit. Teaching and Learning, Employability, Facilities, Governance & Structure, and Academic Development are all areas where the institute has excelled. #qsigauge #ranking #diamond #kpriet #teaching #learning #development



…see more",113,113,3 reposts,None
10 months ago,"Other: Poll, Shared Post, etc","Department of Mathematics, KPRIET organizes a Science Academies' Virtual Workshop on ""Applicable Mathematics"" on December 20 &21, 2021 sponsored by Indian Academy of Sciences (IAS) , Bangalore, Indian National Science Academy (INSA), New Delhi and The National Academy of Sciences, India (NASI)For more details contact, +91 95003 11613, raja.n@kpriet.ac.in#virtualevent #kpriet #mathematics #maths #Math #india #bangalore #delhi #workshop #Science



…see more",25,25,4 reposts,None
11 months ago,"Other: Poll, Shared Post, etc","We hope your dreams carry you to the corners of your smile, the pinnacles of your hopes, the doors to your possibilities, and the most special locations your heart has ever known.Congratulations to all the students who were placed in Tech Mahindra!#students#placement#interview#kpriet#dreamjob#engineering#technology#TechMahindra#tech



…see more",37,37,1 comment,None
11 months ago,"Other: Poll, Shared Post, etc","Today marks the 73rd anniversary of the founding of the National Cadet Corps (NCC), the world's biggest uniformed youth organisation. The National Cadet Corps (NCC) is the Indian Armed Forces' young wing, with headquarters in New Delhi. It is a Tri-Services Organization comprised of the Army, Navy, and Air Wing that is dedicated to moulding the country's children into disciplined and patriotic citizens. It is open to school and college students on a voluntary basis.Capt. K. Senthil Kumar (Retd) joined us at KPRIET to commemorate the 73rd NCC Day.#NCC#KPRIET #NCCDay2021 #sundayvibes #Captain #students #school



…see more",147,147,2 reposts,None
11 months ago,"Other: Poll, Shared Post, etc","Virtusa, a major IT company, has opened its flagship Center of Excellence (CoE) at KPRIET. Virtusa's Centers of Excellence (CoE) programme, which spans academic institutions, ensures that new talent is industry ready. The innovative concept of establishing 'Campus Centers of Excellence' across institutes aims to train faculty and students on cutting-edge technologies and platforms. After that, the students that are hired have an easy transition into the sector.#virtusa#partnershipsforthegoals #talent #students #centreofexcellence#kpriet #headstart7



…see more",19,19,2 reposts,None
11 months ago,"Other: Poll, Shared Post, etc","Learn | Shine | SustainThe name ""Dalai Lama"" is a combination of the Mongolic word dalai meaning ""ocean"" or ""big"" (coming from Mongolian title Dalaiyin qan or Dalaiin khan, translated as Gyatso or rgya-mtsho in Tibetan) and the Tibetan word བླ་མ་ (bla-ma) meaning ""master, guru"".The Dalai Lama is also known in Tibetan as the Rgyal-ba Rin-po-che (""Precious Conqueror"") or simply as the Rgyal-ba.#Learn#shine#sustain#learnbeyond#kpriet#engineering #dalailama



…see more",30,30,2 reposts,None
1 year ago,"Other: Poll, Shared Post, etc","Inaugural Ceremony of EKKI - KPRIET International Water Technology Centre (EIWTC) at KPR Institute of Engineering and Technology, Coimbatore on 13.11.2021 | 12.00 NoonAll are cordially invited!#inauguration #ekki #KPRIET #eiwtc #InauguralCeremony #welcome



…see more",53,53,4 reposts,None
1 year ago,"Other: Poll, Shared Post, etc","Vaccination saves lives at every stage of life!On 12th of November, 2021, KPRIET conducted its third vaccination camp, in which 600 people were vaccinated in order to prevent the spread of COVID-19. We're marching towards a 100% immunized campus!""Immunization has been a great public health success story. The lives of millions of children have been saved, millions have the chance of a longer healthier life, a greater chance to learn, to play, to read and write, to move around freely without suffering."" -Nelson Mandela#vaccination #COVID19 #kpriet #corona #covidvaccine #CoronaFreeIndia #publichealth #covid #success #people



…see more",46,46,5 reposts,None
1 year ago,"Other: Poll, Shared Post, etc","EKKI - KPRIET International Water Technology Centre (EIWTC) was inaugurated by Ms. Karin Stoll, German Consul General, Dr. K. P. Ramasamy, Chairman, KPR Group, Dr. M. Akila, Principal, KPRIET, Mr. P. Arumugam, CE, EKKI Pumps, Coimbatore, and Mr. Kanishka Arumugam, EKKI Pumps Coimbatore on 12.11.2021, Friday. #inaugural #inauguration #ekkipumps #pumps #kpriet #EIWTC



…see more",225,225,5 reposts,None
1 year ago,"Other: Poll, Shared Post, etc","Placement Record 2022550+ KPRIETians placed across the top MNC Giants with dream salary package!Congratulations to all placed students!#placement #KPRIET #MNC #dreamjob #career #Congratulations



…see more",55,55,5 reposts,None
1 year ago,"Other: Poll, Shared Post, etc","Glimpses of the inauguration ceremony of Students Induction Programme and Kurinji Tamil Sangam held on 27.10.2021 at Kalaiyarangam, KPRIET#inauguration #students#firstyear #kpriet#tamil#sangam



…see more",119,119,1 repost,None
1 year ago,"Other: Poll, Shared Post, etc","Kavignar Nellai Jeyantha, Poet and Publisher, Vaali Pathipagam, Chennai released the logo of Kurinji Tamil Sangam and delivered the inaugural address for Kurinji Tamil Sangam.#kavignar#tamilsangam#tamil#sangam#kpriet#coimbatore#Vaali



…see more",35,35,1 repost,None
1 year ago,"Other: Poll, Shared Post, etc","Inauguration of first year students induction programme and Kurunji Tamil Sangam27.10.2021All are welcome!#inauguration#firstyear#collegelife#induction



…see more",24,24,1 repost,None
11 months ago,"Other: Poll, Shared Post, etc","Placement Excellence2022 Batch550+ offers as on November 2021Congratulations to all the placed students!#placements #ThursdayThoughts #careers #dreamjob #kpriet #excellence #morningvibes #students



…see more",32,32,1 comment,None
11 months ago,"Other: Poll, Shared Post, etc","AMCAT bestows KPRIET withNational Employability Award 2022 for the second consecutive year.#Congratulations#AMCAT#awards#national#Employability#kpriet#proudmoment



…see more",57,57,2 reposts,None
1 year ago,"Other: Poll, Shared Post, etc","Padma Shri. Sridhar Vembu, Founder and CEO of ZOHO, addressed the gathering at the event ""Thiramai Elimai Perumai"" on October 20, 2021 at KPRIET. He also interacted with our budding engineers. #event #engineers #ceo #zoho #sridharvembu #kpriet #technology 



…see more",157,157,3 reposts,None
1 year ago,"Other: Poll, Shared Post, etc","We welcome our esteemed Chief Guest Padma Shri. Sridhar Vembu, Founder and CEO, ZOHO. KPRIET is highly honored by your worthy presence. #welcome#kpriet#Zoho#Chiefguest#CEO#PadmaShri



…see more","1,150","1,150",9 reposts,None
1 year ago,"Other: Poll, Shared Post, etc","KPR Institutions welcomes you all to ""Thiramai Elimai Perumai"" Chief Guest: Padma Shri. Sridhar Vembu, Founder and CEO, ZOHO#kpriet#learnbeyond#zoho#ceo #kprcas #kprias #kprweed



…see more",77,77,1 comment,None
